Project Name,Type,Sector,Sub-Sector,Location,Project Authority,Status,Total Project Cost (in Rs Crore),Date Of Award
4-laning of Muzaffarnagar-Saharanpur Road (SH-59) from Km.0.000 to Km.52.950 on DBFOT toll basis,Government Infrastructure Projects (PPP),Transport,Roads and bridges,Uttar Pradesh,Uttar Pradesh State Highways Authority,Operation and Maintenance Stage,752.88,29-May-2015
Development of modern food silo for storage of wheat on DBFOT at Katihar (Bihar) - Proposed by FPD,Government Infrastructure Projects (PPP),Social and Commercial Infrastructure,Post-harvest storage infrastructure for agriculture and horticulture produce including cold storage,Bihar,Food Corporation of India,Under Construction,44.62,10-Jun-2016
Development of modern food silo for storage of wheat on DBFOT at Kotkapura (Punjab) - Proposed by FPD,Government Infrastructure Projects (PPP),Social and Commercial Infrastructure,Post-harvest storage infrastructure for agriculture and horticulture produce including cold storage,Punjab,Food Corporation of India,Operation and Maintenance Stage,35.62,10-Jun-2016
Four laning with paved shoulder in Bareilly-Almora section of SH 37 in the State of Uttar Pradesh on DBFOT basis,Government Infrastructure Projects (PPP),Transport,Roads and bridges,Uttar Pradesh,Uttar Pradesh State Highways Authority,Operation and Maintenance Stage,604.55,01-Aug-2011
Four-laning of Varanasi-Shaktinagar road of SH-5A in UP under DBFOT basis,Government Infrastructure Projects (PPP),Transport,Roads and bridges,Uttar Pradesh,Uttar Pradesh State Highways Authority,Operation and Maintenance Stage,"1,757.39",08-Dec-2011
2nd Container Terminal (NSICT) JNPT,Government Infrastructure Projects (PPP),Transport,Ports (excluding captive),Maharashtra,Jawaharlal Nehru Port Trust,Operation and Maintenance Stage,750.00,03-Jul-1997
3rd Container Terminal (GTIPL) JNPT,Government Infrastructure Projects (PPP),Transport,Ports (excluding captive),Maharashtra,Jawaharlal Nehru Port Trust,Operation and Maintenance Stage,"1,078.00",10-Aug-2004
4th Container Terminal (Jawaharlal Nehru Port),Government Infrastructure Projects (PPP),Transport,Ports (excluding captive),Maharashtra,Jawaharlal Nehru Port Trust,Operation and Maintenance Stage,"7,915.00",06-May-2014
Development of metro link from Delhi Metro Sikanderpur to NH 8 Gurgaon,Government Infrastructure Projects (PPP),Transport,Urban public transport (except rolling stock),Haryana,Haryana Urban Development Authority,Operation and Maintenance Stage,"1,088.00",16-Jul-2009
Development of standalone container handling facility with a quay length of 330 m to the North   at JNPT.,Government Infrastructure Projects (PPP),Transport,Ports (excluding captive),Maharashtra,Jawaharlal Nehru Port Trust,Operation and Maintenance Stage,600.00,19-Jun-2013
Gurgaon  Metro  South  Extension (RMGSL) project,Government Infrastructure Projects (PPP),Transport,Urban public transport (except rolling stock),Haryana,Haryana Urban Development Authority,Operation and Maintenance Stage,"2,150.00",03-Jan-2013
Liquid Cargo Berth (JNPT) Project,Government Infrastructure Projects (PPP),Transport,Ports (excluding captive),Maharashtra,Jawaharlal Nehru Port Trust,Operation and Maintenance Stage,200.00,17-Aug-1999
Road Upgradation (Gurgaon-Faridabad-Ballabhgarh-Sohna) Project,Government Infrastructure Projects (PPP),Transport,Roads and bridges,Haryana,"Public Works Department, Haryana",Operation and Maintenance Stage,779.12,Not Available
Second Container Terminal (Chennai) Project,Government Infrastructure Projects (PPP),Transport,Ports (excluding captive),Tamil Nadu,Chennai Port Trust,Operation and Maintenance Stage,783.32,08-Mar-2007
Small Hydel Power (Kareri) Project,Government Infrastructure Projects (PPP),Energy,Renewable energy (grid),Himachal Pradesh,Himachal Pradesh Energy Development Agency,Under Construction,34.16,27-Jan-2015
Development of East Quay-I (EQ-1) Berth for handling steam coal in the inner harbour of Vishakakhpatnam Port.,Government Infrastructure Projects (PPP),Transport,Ports (excluding captive),Andhra Pradesh,Visakhapatnam Port Trust,Operation and Maintenance Stage,323.70,01-Aug-2011
Development of EQ-10 berth in the northern arm of inner harbour of Visakhapatnam port,Government Infrastructure Projects (PPP),Transport,Ports (excluding captive),Andhra Pradesh,Visakhapatnam Port Trust,Operation and Maintenance Stage,55.38,16-Aug-2010
Development of WQ-6 berth in the northern arm of inner harbour of Vishakhapatnam Port for handling dry bulk cargo on DBFOT basis,Government Infrastructure Projects (PPP),Transport,Ports (excluding captive),Andhra Pradesh,Visakhapatnam Port Trust,Operation and Maintenance Stage,139.90,31-Jul-2010
"Establishment of Container Terminal and O &amp; M of handling equipment at multipurpose berth, Visakhapatnam Port",Government Infrastructure Projects (PPP),Transport,Ports (excluding captive),Andhra Pradesh,Visakhapatnam Port Trust,Operation and Maintenance Stage,108.00,11-Sep-2002
"Mechanisation of coal handling facilities &amp; upgradation of general cargo berth at outer harbour,Visakhapatnam port",Government Infrastructure Projects (PPP),Transport,Ports (excluding captive),Andhra Pradesh,Visakhapatnam Port Trust,Operation and Maintenance Stage,640.40,10-Jun-2010
Multipurpose Berth (Visakhapatnam Port) Project,Government Infrastructure Projects (PPP),Transport,Ports (excluding captive),Andhra Pradesh,Visakhapatnam Port Trust,Operation and Maintenance Stage,317.00,28-Nov-2001
"Upgradation of existing facility &amp; creation of new facility at Visakhapatnam Port Trust, for Iron Ore Handling",Government Infrastructure Projects (PPP),Transport,Ports (excluding captive),Andhra Pradesh,Visakhapatnam Port Trust,Under Construction,580.89,13-Dec-2013
Bulk Cargo Berth No.12 (New Mangalore Port) Project,Government Infrastructure Projects (PPP),Transport,Ports (excluding captive),Karnataka,New Mangalore Port Trust,Under Construction,469.46,18-Mar-2016
Construction and Operation of a Captive Jetty and Associated Facilities for Handling Bulk Quantity of Coal,Government Infrastructure Projects (PPP),Transport,Ports (excluding captive),Karnataka,New Mangalore Port Trust,Operation and Maintenance Stage,230.00,05-Sep-2008
Development of passenger ropeway of 2 Km from Kullu bypass to Bijili Mahadev Tample in kullu district,Government Infrastructure Projects (PPP),Social and Commercial Infrastructure,Tourism,Himachal Pradesh,"Department of Tourism and Civil Aviation, Himachal Pradesh",Pre-construction Stage,94.19,17-Dec-2016
Development of road from NH-63 near Ginigere-Gangavathi to Sindhanur,Government Infrastructure Projects (PPP),Transport,Roads and bridges,Karnataka,Karnataka Road Development Corporation Limited (KRDCL),Operation and Maintenance Stage,190.16,24-Aug-2012
Green Field Super Speciality Hospital (Bathinda),Government Infrastructure Projects (PPP),Social and Commercial Infrastructure,Health Care,Punjab,Punjab Health Systems Corporation,Operation and Maintenance Stage,87.02,05-Aug-2009
Green Field Super Speciality Hospital (Mohali),Government Infrastructure Projects (PPP),Social and Commercial Infrastructure,Health Care,Punjab,Punjab Health Systems Corporation,Operation and Maintenance Stage,178.82,05-Aug-2009
Hospital (Fatehgarh Sahib) Project,Government Infrastructure Projects (PPP),Social and Commercial Infrastructure,Health Care,Punjab,Punjab Health Systems Corporation,Operation and Maintenance Stage,5.25,11-Sep-2014
Improvement of Dharwad- Ramnagar Stretch,Government Infrastructure Projects (PPP),Transport,Roads and bridges,Karnataka,Karnataka Road Development Corporation Limited (KRDCL),Operation and Maintenance Stage,237.60,04-Jun-2010
Laying of ropeway at Jakhu in Shimla district,Government Infrastructure Projects (PPP),Social and Commercial Infrastructure,Tourism,Himachal Pradesh,"Department of Tourism and Civil Aviation, Himachal Pradesh",Operation and Maintenance Stage,40.00,16-Mar-2006
"Laying of ropeway from Palchan to Gulaba, Gulaba to Marhi and Marhi to Rohtang in Kangra district",Government Infrastructure Projects (PPP),Social and Commercial Infrastructure,Tourism,Himachal Pradesh,"Department of Tourism and Civil Aviation, Himachal Pradesh",Pre-construction Stage,340.00,21-Oct-2015
Passenger Ropeway (Solang Valley-Kullu) Project,Government Infrastructure Projects (PPP),Social and Commercial Infrastructure,Tourism,Himachal Pradesh,"Department of Tourism and Civil Aviation, Himachal Pradesh",Operation and Maintenance Stage,36.57,18-Jan-2003
Developlememt of Triangle portion of the Lakota lake,Government Infrastructure Projects (PPP),Social and Commercial Infrastructure,Tourism,Gujarat,Jamnagar Municipal Corporation,Pre-construction Stage,Not Available,Not Available
Development of M P Shah Town hall,Government Infrastructure Projects (PPP),Social and Commercial Infrastructure,Tourism,Gujarat,Jamnagar Municipal Corporation,Pre-construction Stage,Not Available,Not Available
Implementation of 70 MLD sewage treatment plant in Jamnagar district,Government Infrastructure Projects (PPP),Water Sanitation,"Sewage collection, treatment and disposal system",Gujarat,Jamnagar Municipal Corporation,Operation and Maintenance Stage,78.00,Not Available
Construction of Berth 5 A &amp; 6 A at Mormugao in South Goa,Government Infrastructure Projects (PPP),Transport,Ports (excluding captive),Goa,Mormugao Port Trust,Operation and Maintenance Stage,220.00,11-Apr-1999
Development of 400 kV Suratgarh-Bikaner Double Circuit  of Super Critical Thermal Power Plant at Suratgarh,Government Infrastructure Projects (PPP),Energy,Electricity transmission,Rajasthan,Rajasthan Rajya Vidyut Prasaran Nigam Limited,Under Construction,260.00,21-Mar-2016
Development of a 400 kV Bikaner Sikar D/C Power Transmission Line for evacuation of power from wind and solar power in Rajasthan,Government Infrastructure Projects (PPP),Energy,Electricity transmission,Rajasthan,Rajasthan Rajya Vidyut Prasaran Nigam Limited,Operation and Maintenance Stage,260.00,06-Nov-2015
"Development of a Coal Handling terminal at Berth No. 7 in the Port of Mormugao, Goa.",Government Infrastructure Projects (PPP),Transport,Ports (excluding captive),Goa,Mormugao Port Trust,Operation and Maintenance Stage,406.00,22-Sep-2009
Gurha Lignite Power Project,Government Infrastructure Projects (PPP),Energy,Electricity generation (grid),Rajasthan,Rajasthan Rajya Vidyut Prasaran Nigam Limited,Under Construction,Not Available,26-Jun-2013
Haindaun-Alwar Transmission  line project,Government Infrastructure Projects (PPP),Energy,Electricity transmission,Rajasthan,Rajasthan Rajya Vidyut Prasaran Nigam Limited,Operation and Maintenance Stage,188.32,Not Available
PPP-10:5 No. transmisson line of 132 kV at various places,Government Infrastructure Projects (PPP),Energy,Electricity transmission,Rajasthan,Rajasthan Rajya Vidyut Prasaran Nigam Limited,Under Construction,117.70,Not Available
PPP-8:1 No. transmission line of 220 kV &amp; 5 No. 132 kV GSS at various places,Government Infrastructure Projects (PPP),Energy,Electricity transmission,Rajasthan,Rajasthan Rajya Vidyut Prasaran Nigam Limited,Under Construction,149.00,Not Available
PPP-9:6 No. transmisson line of 132 kV at various places,Government Infrastructure Projects (PPP),Energy,Electricity transmission,Rajasthan,Rajasthan Rajya Vidyut Prasaran Nigam Limited,Under Construction,128.81,Not Available
"Re-development of berth 8, 9 and Barge berth with a capacity of 19.2 MMTPA at Marmugao port",Government Infrastructure Projects (PPP),Transport,Ports (excluding captive),Goa,Mormugao Port Trust,Under Construction,"1,145.36",15-Apr-2016
Transmission Line (Bikaner-Deedwana-Ajmer) Project,Government Infrastructure Projects (PPP),Energy,Electricity transmission,Rajasthan,Rajasthan Rajya Vidyut Prasaran Nigam Limited,Operation and Maintenance Stage,285.00,15-Feb-2011
"Setting up of 50,000 MT modern food silo complex at Bhopal",Government Infrastructure Projects (PPP),Social and Commercial Infrastructure,Post-harvest storage infrastructure for agriculture and horticulture produce including cold storage,Madhya Pradesh,Madhya Pradesh Warehousing and Logistics Corporation (MPWLC),Operation and Maintenance Stage,30.63,28-May-2014
"Setting up of 50,000 MT modern food silo complex at Dewas District Village Durgapura",Government Infrastructure Projects (PPP),Social and Commercial Infrastructure,Post-harvest storage infrastructure for agriculture and horticulture produce including cold storage,Madhya Pradesh,Madhya Pradesh Warehousing and Logistics Corporation (MPWLC),Operation and Maintenance Stage,29.43,06-Jun-2014
"Setting up of 50,000 MT modern food silo complex at Harda District Village Bhadawad",Government Infrastructure Projects (PPP),Social and Commercial Infrastructure,Post-harvest storage infrastructure for agriculture and horticulture produce including cold storage,Madhya Pradesh,Madhya Pradesh Warehousing and Logistics Corporation (MPWLC),Operation and Maintenance Stage,28.97,06-Jun-2014
"Setting up of 50,000 MT modern food silo complex at Hoshangabad District Village Junheta Bankhedi",Government Infrastructure Projects (PPP),Social and Commercial Infrastructure,Post-harvest storage infrastructure for agriculture and horticulture produce including cold storage,Madhya Pradesh,Madhya Pradesh Warehousing and Logistics Corporation (MPWLC),Operation and Maintenance Stage,28.82,06-Jun-2014
"Setting up of 50,000 MT modern food silo complex at Indore",Government Infrastructure Projects (PPP),Social and Commercial Infrastructure,Post-harvest storage infrastructure for agriculture and horticulture produce including cold storage,Madhya Pradesh,Madhya Pradesh Warehousing and Logistics Corporation (MPWLC),Operation and Maintenance Stage,30.64,28-May-2014
"Setting up of 50,000 MT modern food silo complex at Satna District Village Mohari",Government Infrastructure Projects (PPP),Social and Commercial Infrastructure,Post-harvest storage infrastructure for agriculture and horticulture produce including cold storage,Madhya Pradesh,Madhya Pradesh Warehousing and Logistics Corporation (MPWLC),Operation and Maintenance Stage,28.95,06-Jun-2014
"Setting up of 50,000 MT modern food silo complex at Sehore District Village Murli",Government Infrastructure Projects (PPP),Social and Commercial Infrastructure,Post-harvest storage infrastructure for agriculture and horticulture produce including cold storage,Madhya Pradesh,Madhya Pradesh Warehousing and Logistics Corporation (MPWLC),Operation and Maintenance Stage,30.55,13-Jun-2014
"Setting up of 50,000 MT modern food silo complex at Ujjain District Village Manpur",Government Infrastructure Projects (PPP),Social and Commercial Infrastructure,Post-harvest storage infrastructure for agriculture and horticulture produce including cold storage,Madhya Pradesh,Madhya Pradesh Warehousing and Logistics Corporation (MPWLC),Operation and Maintenance Stage,29.60,06-Jun-2014
"Setting up of 50,000 MT modern food silo complex at Vidisha District Village Patheri Haveli",Government Infrastructure Projects (PPP),Social and Commercial Infrastructure,Post-harvest storage infrastructure for agriculture and horticulture produce including cold storage,Madhya Pradesh,Madhya Pradesh Warehousing and Logistics Corporation (MPWLC),Operation and Maintenance Stage,30.96,06-Jun-2014
4/6 laning of Dewas Bypass from Km 0/00 on sH-18 to km. to 19/800 on NH-3 on DBFOT basis.,Government Infrastructure Projects (PPP),Transport,Roads and bridges,Madhya Pradesh,Madhya Pradesh Road Development Corporation Limited (MPRDC),Pre-construction Stage,267.30,27-Feb-2017
Bailkhedu - Saraoud,Government Infrastructure Projects (PPP),Transport,Roads and bridges,Madhya Pradesh,Madhya Pradesh Road Development Corporation Limited (MPRDC),Operation and Maintenance Stage,24.00,Not Available
Baretha - Ghoradongri,Government Infrastructure Projects (PPP),Transport,Roads and bridges,Madhya Pradesh,Madhya Pradesh Road Development Corporation Limited (MPRDC),Under Construction,39.53,26-Aug-2014
Bhina-Khimalsa-Malthon Road Project,Government Infrastructure Projects (PPP),Transport,Roads and bridges,Madhya Pradesh,Madhya Pradesh Road Development Corporation Limited (MPRDC),Operation and Maintenance Stage,67.30,07-Aug-2009
Bhind-Mihona-Gopalpur Road project,Government Infrastructure Projects (PPP),Transport,Roads and bridges,Madhya Pradesh,Madhya Pradesh Road Development Corporation Limited (MPRDC),Operation and Maintenance Stage,82.10,07-Aug-2009
Border Check Posts (Madhya Pradesh) Project,Government Infrastructure Projects (PPP),Transport,Roads and bridges,Madhya Pradesh,Madhya Pradesh Road Development Corporation Limited (MPRDC),Under Construction,"1,350.00",10-Nov-2010
Construction of Four-lane Bhopal By-pass in Madhya Pradesh,Government Infrastructure Projects (PPP),Transport,Roads and bridges,Madhya Pradesh,Madhya Pradesh Road Development Corporation Limited (MPRDC),Operation and Maintenance Stage,305.00,17-May-2011
Construction of new four lane connecting Lebad to Manpur,Government Infrastructure Projects (PPP),Transport,Roads and bridges,Madhya Pradesh,Madhya Pradesh Road Development Corporation Limited (MPRDC),Operation and Maintenance Stage,200.10,04-May-2010
Damoh- Jabalpur Road Project,Government Infrastructure Projects (PPP),Transport,Roads and bridges,Madhya Pradesh,Madhya Pradesh Road Development Corporation Limited (MPRDC),Operation and Maintenance Stage,249.60,07-Aug-2009
Development of Datia-Dinara road in length of 8.9 km in Datia,Government Infrastructure Projects (PPP),Transport,Roads and bridges,Madhya Pradesh,Madhya Pradesh Road Development Corporation Limited (MPRDC),Operation and Maintenance Stage,16.00,09-May-2012
Development of Four lane of Mangwan to MP/UP border section (km 98/2 to km 46/6) of NH 27 on DBFOT (Toll) basis,Government Infrastructure Projects (PPP),Transport,Roads and bridges,Madhya Pradesh,Madhya Pradesh Road Development Corporation Limited (MPRDC),Under Construction,410.70,27-Apr-2012
Development of Four lane of Sidhi to Singrauli section (km 83/4 to km 195/8) of NH 75E on DBFOT (Toll) basis,Government Infrastructure Projects (PPP),Transport,Roads and bridges,Madhya Pradesh,Madhya Pradesh Road Development Corporation Limited (MPRDC),Under Construction,954.43,14-May-2012
"Development of Sausr-Mohgaon-Mordongri, Sonapipari-Umrethmonari-Umbah & Gadarwara-Tendukheda Roads",Government Infrastructure Projects (PPP),Transport,Roads and bridges,Madhya Pradesh,Madhya Pradesh Road Development Corporation Limited (MPRDC),Operation and Maintenance Stage,58.20,30-Jan-2012
Development of Ujjain - Simhastha bypass on BOT (Toll + Annuity) Basis,Government Infrastructure Projects (PPP),Transport,Roads and bridges,Madhya Pradesh,Madhya Pradesh Road Development Corporation Limited (MPRDC),Operation and Maintenance Stage,98.26,12-Jun-2013
Dewas-Ujjain-Badnagar-Badnawar Road Project,Government Infrastructure Projects (PPP),Transport,Roads and bridges,Madhya Pradesh,Madhya Pradesh Road Development Corporation Limited (MPRDC),Operation and Maintenance Stage,49.90,31-Jul-2003
Dhaneta - Rakhi - Shahajpur,Government Infrastructure Projects (PPP),Transport,Roads and bridges,Madhya Pradesh,Madhya Pradesh Road Development Corporation Limited (MPRDC),Operation and Maintenance Stage,22.00,Not Available
Four laning Indore-Ujjain Road Project,Government Infrastructure Projects (PPP),Transport,Roads and bridges,Madhya Pradesh,Madhya Pradesh Road Development Corporation Limited (MPRDC),Operation and Maintenance Stage,298.00,Not Available
"Four Laning of following State Highways in Madhya Pradesh : Bhopal, Devas",Government Infrastructure Projects (PPP),Transport,Roads and bridges,Madhya Pradesh,Madhya Pradesh Road Development Corporation Limited (MPRDC),Operation and Maintenance Stage,640.00,30-Jun-2007
Four Laning of following State Highways in Madhya Pradesh : Joura-Nnayagaon,Government Infrastructure Projects (PPP),Transport,Roads and bridges,Madhya Pradesh,Madhya Pradesh Road Development Corporation Limited (MPRDC),Operation and Maintenance Stage,730.00,20-Aug-2007
Four laning of Lebad-Jaora section of SH 31 in Madhya Pradesh,Government Infrastructure Projects (PPP),Transport,Roads and bridges,Madhya Pradesh,Madhya Pradesh Road Development Corporation Limited (MPRDC),Operation and Maintenance Stage,682.50,30-Aug-2007
Four laning of Rewa to MP/UP Border of NH 7 in the State of Madhya Pradesh,Government Infrastructure Projects (PPP),Transport,Roads and bridges,Madhya Pradesh,Madhya Pradesh Road Development Corporation Limited (MPRDC),Operation and Maintenance Stage,736.70,27-Apr-2012
Four-laning with paved shoulders of Rewa-Ring Road section from km 229.10 of NH-7 to km 6.2 of SH-9 under DBFOT (Toll),Government Infrastructure Projects (PPP),Transport,Roads and bridges,Madhya Pradesh,Madhya Pradesh Road Development Corporation Limited (MPRDC),Operation and Maintenance Stage,74.20,17-May-2013
Kantaphod - Nachabhor,Government Infrastructure Projects (PPP),Transport,Roads and bridges,Madhya Pradesh,Madhya Pradesh Road Development Corporation Limited (MPRDC),Operation and Maintenance Stage,91.00,Not Available
Manawar-Singhan-Kukshi,Government Infrastructure Projects (PPP),Transport,Roads and bridges,Madhya Pradesh,Madhya Pradesh Road Development Corporation Limited (MPRDC),Operation and Maintenance Stage,96.73,12-Mar-2012
Operation & maintenance of Badnawar-Thandla road in length of 78.8 Km in Jhabua & Dhar districts,Government Infrastructure Projects (PPP),Transport,Roads and bridges,Madhya Pradesh,Madhya Pradesh Road Development Corporation Limited (MPRDC),Operation and Maintenance Stage,44.12,10-Oct-2012
Operation & maintenance of Badwah-Dhamnod road in length of 61.9 Km in Dhar district,Government Infrastructure Projects (PPP),Transport,Roads and bridges,Madhya Pradesh,Madhya Pradesh Road Development Corporation Limited (MPRDC),Operation and Maintenance Stage,71.31,14-Aug-2012
Operation & Maintenance of Bargawan &ndash;waidhan road in length of 27.3 Km2,Government Infrastructure Projects (PPP),Transport,Roads and bridges,Madhya Pradesh,Madhya Pradesh Road Development Corporation Limited (MPRDC),Operation and Maintenance Stage,39.41,30-Aug-2016
Operation & maintenance of Bela-Govindgarh-Churhat road in length of 56.6 Km in Rewa & Sidhi districts,Government Infrastructure Projects (PPP),Transport,Roads and bridges,Madhya Pradesh,Madhya Pradesh Road Development Corporation Limited (MPRDC),Operation and Maintenance Stage,60.85,27-Oct-2014
Operation & maintenance of Budhni-Rehti-Nasrullaganj-Khategaon road in length of 87.6 Km in Sehore & Dewas districts,Government Infrastructure Projects (PPP),Transport,Roads and bridges,Madhya Pradesh,Madhya Pradesh Road Development Corporation Limited (MPRDC),Operation and Maintenance Stage,77.45,16-Aug-2013
"Operation & maintenance of various roads in length of 95 km in Bhopal, Vidihsa & Sehore districts",Government Infrastructure Projects (PPP),Transport,Roads and bridges,Madhya Pradesh,Madhya Pradesh Road Development Corporation Limited (MPRDC),Operation and Maintenance Stage,29.20,27-Jun-2016
Paron-Goras Road (SH-23),Government Infrastructure Projects (PPP),Transport,Roads and bridges,Madhya Pradesh,Madhya Pradesh Road Development Corporation Limited (MPRDC),Operation and Maintenance Stage,102.00,09-Sep-2011
Patan-Tendukheda-Rehli,Government Infrastructure Projects (PPP),Transport,Roads and bridges,Madhya Pradesh,Madhya Pradesh Road Development Corporation Limited (MPRDC),Operation and Maintenance Stage,219.62,01-Sep-2015
Raisen- Gairatganj- Rahatgarh Road,Government Infrastructure Projects (PPP),Transport,Roads and bridges,Madhya Pradesh,Madhya Pradesh Road Development Corporation Limited (MPRDC),Operation and Maintenance Stage,57.70,07-May-2003
Road Upgradation (AB Road-Magarkhedi-Bamari) Project,Government Infrastructure Projects (PPP),Transport,Roads and bridges,Madhya Pradesh,Madhya Pradesh Road Development Corporation Limited (MPRDC),Operation and Maintenance Stage,17.31,24-Dec-2012
Road Upgradation (Alirajpur-Jobat) Project,Government Infrastructure Projects (PPP),Transport,Roads and bridges,Madhya Pradesh,Madhya Pradesh Road Development Corporation Limited (MPRDC),Operation and Maintenance Stage,45.31,24-Dec-2012
Road Upgradation (Ankiya-Barkheda-Dongargaon-Nazirabad) Project,Government Infrastructure Projects (PPP),Transport,Roads and bridges,Madhya Pradesh,Madhya Pradesh Road Development Corporation Limited (MPRDC),Operation and Maintenance Stage,14.13,02-Feb-2013
Road Upgradation (Ashapur-Khalwa-Singhot) Project,Government Infrastructure Projects (PPP),Transport,Roads and bridges,Madhya Pradesh,Madhya Pradesh Road Development Corporation Limited (MPRDC),Operation and Maintenance Stage,56.90,17-Jan-2012
Road Upgradation (Babangaja-Pati-Bokrata) Project,Government Infrastructure Projects (PPP),Transport,Roads and bridges,Madhya Pradesh,Madhya Pradesh Road Development Corporation Limited (MPRDC),Operation and Maintenance Stage,46.87,24-Dec-2012
Road Upgradation (Gwalior-Bhind up to UP Border) Project,Government Infrastructure Projects (PPP),Transport,Roads and bridges,Madhya Pradesh,Madhya Pradesh Road Development Corporation Limited (MPRDC),Operation and Maintenance Stage,314.50,14-Jan-2011
Road Upgradation (Hoshangabad-Piparia-Pachmarhi) Project,Government Infrastructure Projects (PPP),Transport,Roads and bridges,Madhya Pradesh,Madhya Pradesh Road Development Corporation Limited (MPRDC),Operation and Maintenance Stage,57.00,29-Jul-2003
Road Upgradation (Jabalpur-Narsinghpur-Piparia) Project,Government Infrastructure Projects (PPP),Transport,Roads and bridges,Madhya Pradesh,Madhya Pradesh Road Development Corporation Limited (MPRDC),Operation and Maintenance Stage,75.00,06-Mar-2003
Road Upgradation (Phoolsagar-Niwas Shalpura) Project,Government Infrastructure Projects (PPP),Transport,Roads and bridges,Madhya Pradesh,Madhya Pradesh Road Development Corporation Limited (MPRDC),Operation and Maintenance Stage,156.90,07-Mar-2013
Road Upgradation (Rewa-Shahdol-Amarkantak) Project,Government Infrastructure Projects (PPP),Transport,Roads and bridges,Madhya Pradesh,Madhya Pradesh Road Development Corporation Limited (MPRDC),Operation and Maintenance Stage,111.30,15-Sep-2002
Road Upgradation (Sheopur-Baroda-Khuwajapur) Project,Government Infrastructure Projects (PPP),Transport,Roads and bridges,Madhya Pradesh,Madhya Pradesh Road Development Corporation Limited (MPRDC),Operation and Maintenance Stage,61.80,02-May-2012
Road Upgradation (Tyonda-Ganjbasoda) Project,Government Infrastructure Projects (PPP),Transport,Roads and bridges,Madhya Pradesh,Madhya Pradesh Road Development Corporation Limited (MPRDC),Operation and Maintenance Stage,46.03,02-Feb-2013
Road upgradation of Waraseoni-Lalbarra Road in length of 18.30 km in Balaghat.,Government Infrastructure Projects (PPP),Transport,Roads and bridges,Madhya Pradesh,Madhya Pradesh Road Development Corporation Limited (MPRDC),Operation and Maintenance Stage,42.51,07-Dec-2011
Road Upgradation Project (Betul-Athner) Project,Government Infrastructure Projects (PPP),Transport,Roads and bridges,Madhya Pradesh,Madhya Pradesh Road Development Corporation Limited (MPRDC),Operation and Maintenance Stage,45.40,26-Jul-2012
Road Upgradation Project (Biaora- Rajasthan) Project,Government Infrastructure Projects (PPP),Transport,Roads and bridges,Madhya Pradesh,Madhya Pradesh Road Development Corporation Limited (MPRDC),Operation and Maintenance Stage,221.00,26-Jul-2013
Road Upgradation Project (Damoh-Patharia-Garhakota) Project,Government Infrastructure Projects (PPP),Transport,Roads and bridges,Madhya Pradesh,Madhya Pradesh Road Development Corporation Limited (MPRDC),Operation and Maintenance Stage,71.88,08-Dec-2011
Road Upgradation Project (Datia-Bhander) Project,Government Infrastructure Projects (PPP),Transport,Roads and bridges,Madhya Pradesh,Madhya Pradesh Road Development Corporation Limited (MPRDC),Operation and Maintenance Stage,52.80,30-Nov-2011
Road Upgradation Project (Deharda-Ishagarh ) Project,Government Infrastructure Projects (PPP),Transport,Roads and bridges,Madhya Pradesh,Madhya Pradesh Road Development Corporation Limited (MPRDC),Under Construction,50.57,19-Apr-2011
Road Upgradation Project (Gormi-Udotgarh) Project,Government Infrastructure Projects (PPP),Transport,Roads and bridges,Madhya Pradesh,Madhya Pradesh Road Development Corporation Limited (MPRDC),Operation and Maintenance Stage,37.00,29-Sep-2012
Road Upgradation Project (Guna-Aron-Sironaj) Project,Government Infrastructure Projects (PPP),Transport,Roads and bridges,Madhya Pradesh,Madhya Pradesh Road Development Corporation Limited (MPRDC),Operation and Maintenance Stage,190.62,22-Dec-2014
Road Upgradation Project (Mandsaur-Pratapgarh-Rajasthan Border) Project,Government Infrastructure Projects (PPP),Transport,Roads and bridges,Madhya Pradesh,Madhya Pradesh Road Development Corporation Limited (MPRDC),Operation and Maintenance Stage,19.45,16-Mar-2011
Road Upgradation Project (Mhow-Ghatabillod) Project,Government Infrastructure Projects (PPP),Transport,Roads and bridges,Madhya Pradesh,Madhya Pradesh Road Development Corporation Limited (MPRDC),Operation and Maintenance Stage,177.30,07-Sep-2011
Road Upgradation Project (Mundi-Punasa-Sulagoan-Sanawad) Project,Government Infrastructure Projects (PPP),Transport,Roads and bridges,Madhya Pradesh,Madhya Pradesh Road Development Corporation Limited (MPRDC),Operation and Maintenance Stage,124.80,05-Dec-2011
Road Upgradation Project (Panna-Amanganj-Semariya-Gaisabad) Project,Government Infrastructure Projects (PPP),Transport,Roads and bridges,Madhya Pradesh,Madhya Pradesh Road Development Corporation Limited (MPRDC),Operation and Maintenance Stage,97.13,05-Nov-2011
Road Upgradation Project (Sardarpur-Badnawar) Project,Government Infrastructure Projects (PPP),Transport,Roads and bridges,Madhya Pradesh,Madhya Pradesh Road Development Corporation Limited (MPRDC),Operation and Maintenance Stage,84.00,29-Jun-2011
Road Upgradation Project (Sehore-Ichhawar-Kosmi) Project,Government Infrastructure Projects (PPP),Transport,Roads and bridges,Madhya Pradesh,Madhya Pradesh Road Development Corporation Limited (MPRDC),Operation and Maintenance Stage,89.00,22-Mar-2011
